contextType,reference,additionalContext,verse,question,answer,grammaticality,acceptability
Prophecy,Jonah 3:4,"So Jonah arose and went to Nineveh, according to the word of the LORD. Now Nineveh was an exceedingly great city, a three-day journey in extent. And Jonah began to enter the city on the first day's walk. Then he cried out and said, ""Yet forty days, and Nineveh shall be overthrown!"" So the people of Nineveh believed God, proclaimed a fast, and put on sackcloth, from the greatest to the least of them.","And Jonah began to enter the city on the first day's walk. Then he cried out and said, ""Yet forty days, and Nineveh shall be overthrown!""","(1pt) According to Jonah 3:4, when did Jonah begin to enter the city?",On the first day's walk,5,5
Prophecy,Jonah 3:4,"So Jonah arose and went to Nineveh, according to the word of the LORD. Now Nineveh was an exceedingly great city, a three-day journey in extent. And Jonah began to enter the city on the first day's walk. Then he cried out and said, ""Yet forty days, and Nineveh shall be overthrown!"" So the people of Nineveh believed God, proclaimed a fast, and put on sackcloth, from the greatest to the least of them.","And Jonah began to enter the city on the first day's walk. Then he cried out and said, ""Yet forty days, and Nineveh shall be overthrown!""","(1pt) According to Jonah 3:4, what city would be overthrown in 40 days?",Nineveh,3,3
Prophecy,Jonah 3:4,"So Jonah arose and went to Nineveh, according to the word of the LORD. Now Nineveh was an exceedingly great city, a three-day journey in extent. And Jonah began to enter the city on the first day's walk. Then he cried out and said, ""Yet forty days, and Nineveh shall be overthrown!"" So the people of Nineveh believed God, proclaimed a fast, and put on sackcloth, from the greatest to the least of them.","And Jonah began to enter the city on the first day's walk. Then he cried out and said, ""Yet forty days, and Nineveh shall be overthrown!""","(1pt) According to Jonah 3:4, what did Jonah say when he entered the city on the first day's walk?","Yet forty days, and Nineveh shall be overthrown!",5,5
Prophecy,Jonah 3:4,"So Jonah arose and went to Nineveh, according to the word of the LORD. Now Nineveh was an exceedingly great city, a three-day journey in extent. And Jonah began to enter the city on the first day's walk. Then he cried out and said, ""Yet forty days, and Nineveh shall be overthrown!"" So the people of Nineveh believed God, proclaimed a fast, and put on sackcloth, from the greatest to the least of them.","And Jonah began to enter the city on the first day's walk. Then he cried out and said, ""Yet forty days, and Nineveh shall be overthrown!""","(1pt) According to Jonah 3:4, who cried out, ""Yet forty days, and Nineveh shall be overthrown!""?",Jonah,5,5
Prophecy,Zephaniah 2:10,"Therefore, as I live,"" Says the LORD of hosts, the God of Israel, ""Surely Moab shall be like Sodom, And the people of Ammon like Gomorrah-- Overrun with weeds and saltpits, And a perpetual desolation. The residue of My people shall plunder them, And the remnant of My people shall possess them."" This they shall have for their pride, Because they have reproached and made arrogant threats Against the people of the LORD of hosts. The LORD will be awesome to them, For He will reduce to nothing all the gods of the earth; People shall worship Him, Each one from his place, Indeed all the shores of the nations.","This they shall have for their pride, Because they have reproached and made arrogant threats Against the people of the LORD of hosts.","(1pt) According to Zephaniah 2:10, the nations that are gathered against Jerusalem shall have shame and confusion for their pride because they have reproached and made arrogant threats against whom?",The people of the Lord of hosts,5,3
Prophecy,Zephaniah 2:10,"Therefore, as I live,"" Says the LORD of hosts, the God of Israel, ""Surely Moab shall be like Sodom, And the people of Ammon like Gomorrah-- Overrun with weeds and saltpits, And a perpetual desolation. The residue of My people shall plunder them, And the remnant of My people shall possess them."" This they shall have for their pride, Because they have reproached and made arrogant threats Against the people of the LORD of hosts. The LORD will be awesome to them, For He will reduce to nothing all the gods of the earth; People shall worship Him, Each one from his place, Indeed all the shores of the nations.","This they shall have for their pride, Because they have reproached and made arrogant threats Against the people of the LORD of hosts.","(1pt) According to Zephaniah 2:10, what will ""this""  be for those who have made arrogant threats against the people of the Lord of hosts?",Their pride,4,3
Prophecy,Zephaniah 2:10,"Therefore, as I live,"" Says the LORD of hosts, the God of Israel, ""Surely Moab shall be like Sodom, And the people of Ammon like Gomorrah-- Overrun with weeds and saltpits, And a perpetual desolation. The residue of My people shall plunder them, And the remnant of My people shall possess them."" This they shall have for their pride, Because they have reproached and made arrogant threats Against the people of the LORD of hosts. The LORD will be awesome to them, For He will reduce to nothing all the gods of the earth; People shall worship Him, Each one from his place, Indeed all the shores of the nations.","This they shall have for their pride, Because they have reproached and made arrogant threats Against the people of the LORD of hosts.","(1pt) According to Zephaniah 2:10, the Lord says that ""this""  shall be for their pride because they have done what against the people of the Lord of hosts?",Reproached and made arrogant threats,5,5
Prophecy,Zephaniah 2:10,"Therefore, as I live,"" Says the LORD of hosts, the God of Israel, ""Surely Moab shall be like Sodom, And the people of Ammon like Gomorrah-- Overrun with weeds and saltpits, And a perpetual desolation. The residue of My people shall plunder them, And the remnant of My people shall possess them."" This they shall have for their pride, Because they have reproached and made arrogant threats Against the people of the LORD of hosts. The LORD will be awesome to them, For He will reduce to nothing all the gods of the earth; People shall worship Him, Each one from his place, Indeed all the shores of the nations.","This they shall have for their pride, Because they have reproached and made arrogant threats Against the people of the LORD of hosts.","(1pt) According to Zephaniah 2:10, what have ""they""  made against the people of the Lord of hosts?",Threats,5,4
Prophecy,Zephaniah 2:10,"Therefore, as I live,"" Says the LORD of hosts, the God of Israel, ""Surely Moab shall be like Sodom, And the people of Ammon like Gomorrah-- Overrun with weeds and saltpits, And a perpetual desolation. The residue of My people shall plunder them, And the remnant of My people shall possess them."" This they shall have for their pride, Because they have reproached and made arrogant threats Against the people of the LORD of hosts. The LORD will be awesome to them, For He will reduce to nothing all the gods of the earth; People shall worship Him, Each one from his place, Indeed all the shores of the nations.","This they shall have for their pride, Because they have reproached and made arrogant threats Against the people of the LORD of hosts.","(1pt) According to Zephaniah 2:10, the nations will have the shame of their pride because they have done what against the people of the Lord of hosts?",Their arrogant threats,4,2
History,Joshua 14:3,"Their inheritance was by lot, as the LORD had commanded by the hand of Moses, for the nine tribes and the half-tribe. For Moses had given the inheritance of the two tribes and the half-tribe on the other side of the Jordan; but to the Levites he had given no inheritance among them. For the children of Joseph were two tribes: Manasseh and Ephraim. And they gave no part to the Levites in the land, except cities to dwell in, with their common-lands for their livestock and their property.",For Moses had given the inheritance of the two tribes and the half-tribe on the other side of the Jordan; but to the Levites he had given no inheritance among them.,"(1pt) According to Joshua 14:3, what did Moses give to the Levites?",No inheritance among them,5,5
