reference,additionalContext,verse,question,answer,grammaticality,acceptability
Esther 10:1,"And King Ahasuerus imposed tribute on the land and on the islands of the sea. Now all the acts of his power and his might, and the account of the greatness of Mordecai, to which the king advanced him, are they not written in the book of the chronicles of the kings of Media and Persia?",And King Ahasuerus imposed tribute on the land and on the islands of the sea.,"(1pt) According to Esther 10:1, what did King Ahasuerus impose on the land and on the islands of the sea?",Tribute,5,5
Esther 10:1,"And King Ahasuerus imposed tribute on the land and on the islands of the sea. Now all the acts of his power and his might, and the account of the greatness of Mordecai, to which the king advanced him, are they not written in the book of the chronicles of the kings of Media and Persia?",And King Ahasuerus imposed tribute on the land and on the islands of the sea.,"(1pt) According to Esther 10:1, what did King Ahasuerus do to the land and the islands of the sea?",Imposed it,4,4
Esther 10:1,"And King Ahasuerus imposed tribute on the land and on the islands of the sea. Now all the acts of his power and his might, and the account of the greatness of Mordecai, to which the king advanced him, are they not written in the book of the chronicles of the kings of Media and Persia?",And King Ahasuerus imposed tribute on the land and on the islands of the sea.,"(1pt) According to Esther 10:1, what did King Ahasuerus impose?",Tribute on the land and on the islands of the sea,5,4
Esther 10:1,"And King Ahasuerus imposed tribute on the land and on the islands of the sea. Now all the acts of his power and his might, and the account of the greatness of Mordecai, to which the king advanced him, are they not written in the book of the chronicles of the kings of Media and Persia?",And King Ahasuerus imposed tribute on the land and on the islands of the sea.,"(1pt) According to Esther 10:1, what did King Ahasuerus impose tribute on?",The islands of the sea,5,3
Esther 10:1,"And King Ahasuerus imposed tribute on the land and on the islands of the sea. Now all the acts of his power and his might, and the account of the greatness of Mordecai, to which the king advanced him, are they not written in the book of the chronicles of the kings of Media and Persia?",And King Ahasuerus imposed tribute on the land and on the islands of the sea.,"(1pt) According to Esther 10:1, who imposed tribute on the land and on the islands of the sea?",Ahasuerus,5,5
Esther 10:1,"And King Ahasuerus imposed tribute on the land and on the islands of the sea. Now all the acts of his power and his might, and the account of the greatness of Mordecai, to which the king advanced him, are they not written in the book of the chronicles of the kings of Media and Persia?",And King Ahasuerus imposed tribute on the land and on the islands of the sea.,"(1pt) According to Esther 10:1, who imposed tribute on the land and on the islands of the sea?",King Ahasuerus,5,4
Esther 10:1,"And King Ahasuerus imposed tribute on the land and on the islands of the sea. Now all the acts of his power and his might, and the account of the greatness of Mordecai, to which the king advanced him, are they not written in the book of the chronicles of the kings of Media and Persia?",And King Ahasuerus imposed tribute on the land and on the islands of the sea.,"(1pt) According to Esther 10:1, what did King Ahasuerus impose tribute on?",The land,4,4
Haggai 1:5,"""Is it time for you yourselves to dwell in your paneled houses, and this temple to lie in ruins?"" Now therefore, thus says the LORD of hosts: ""Consider your ways! ""You have sown much, and bring in little; You eat, but do not have enough; You drink, but you are not filled with drink; You clothe yourselves, but no one is warm; And he who earns wages, Earns wages to put into a bag with holes.""","Now therefore, thus says the LORD of hosts: ""Consider your ways!","(1pt) According to Haggai 1:5, what command did the Lord of hosts give to the people?",Consider your ways!,5,5
Haggai 1:5,"""Is it time for you yourselves to dwell in your paneled houses, and this temple to lie in ruins?"" Now therefore, thus says the LORD of hosts: ""Consider your ways! ""You have sown much, and bring in little; You eat, but do not have enough; You drink, but you are not filled with drink; You clothe yourselves, but no one is warm; And he who earns wages, Earns wages to put into a bag with holes.""","Now therefore, thus says the LORD of hosts: ""Consider your ways!","(3pts) According to Haggai 1:5, what three things does the Lord say to the people after asking them if it is time for them to dwell in their paneled houses, and for this temple to lie in ruins?",(1) Now (2) therefore (3) thus says the Lord of hosts,3,1
Haggai 1:5,"""Is it time for you yourselves to dwell in your paneled houses, and this temple to lie in ruins?"" Now therefore, thus says the LORD of hosts: ""Consider your ways! ""You have sown much, and bring in little; You eat, but do not have enough; You drink, but you are not filled with drink; You clothe yourselves, but no one is warm; And he who earns wages, Earns wages to put into a bag with holes.""","Now therefore, thus says the LORD of hosts: ""Consider your ways!","(1pt) According to Haggai 1:5, what did the Lord of hosts tell the people to do to their ways?",Consider them,5,5
Haggai 1:5,"""Is it time for you yourselves to dwell in your paneled houses, and this temple to lie in ruins?"" Now therefore, thus says the LORD of hosts: ""Consider your ways! ""You have sown much, and bring in little; You eat, but do not have enough; You drink, but you are not filled with drink; You clothe yourselves, but no one is warm; And he who earns wages, Earns wages to put into a bag with holes.""","Now therefore, thus says the LORD of hosts: ""Consider your ways!","(1pt) According to Haggai 1:5, who tells the people to consider their ways?",The Lord of hosts,5,4
Haggai 1:5,"""Is it time for you yourselves to dwell in your paneled houses, and this temple to lie in ruins?"" Now therefore, thus says the LORD of hosts: ""Consider your ways! ""You have sown much, and bring in little; You eat, but do not have enough; You drink, but you are not filled with drink; You clothe yourselves, but no one is warm; And he who earns wages, Earns wages to put into a bag with holes.""","Now therefore, thus says the LORD of hosts: ""Consider your ways!","(1pt) According to Haggai 1:5, what does Haggai say to the people?","The Lord of hosts says, ""Consider your ways!""",5,2
Numbers 33:12,They moved from the Red Sea and camped in the Wilderness of Sin. They journeyed from the Wilderness of Sin and camped at Dophkah. They departed from Dophkah and camped at Alush.,They journeyed from the Wilderness of Sin and camped at Dophkah.,"(1pt) According to Numbers 33:12, when the Israelites left the Wilderness of Sin, where did they camp?",Dophkah,4,3
Numbers 33:12,They moved from the Red Sea and camped in the Wilderness of Sin. They journeyed from the Wilderness of Sin and camped at Dophkah. They departed from Dophkah and camped at Alush.,They journeyed from the Wilderness of Sin and camped at Dophkah.,"(1pt) According to Numbers 33:12, when the Israelites moved from the Red Sea, where did they camp?",The Wilderness of Sin,5,4
Numbers 33:12,They moved from the Red Sea and camped in the Wilderness of Sin. They journeyed from the Wilderness of Sin and camped at Dophkah. They departed from Dophkah and camped at Alush.,They journeyed from the Wilderness of Sin and camped at Dophkah.,"(1pt) According to Numbers 33:12, what did the Israelites do after they departed from the Wilderness of Sin?",Camped at Dophkah,5,5
Numbers 33:12,They moved from the Red Sea and camped in the Wilderness of Sin. They journeyed from the Wilderness of Sin and camped at Dophkah. They departed from Dophkah and camped at Alush.,They journeyed from the Wilderness of Sin and camped at Dophkah.,"(2pts) According to Numbers 33:12, where did the Israelites journey and camp?",(1) From the Wilderness of Sin and (2) camped at Dophkah,5,4
Numbers 33:12,They moved from the Red Sea and camped in the Wilderness of Sin. They journeyed from the Wilderness of Sin and camped at Dophkah. They departed from Dophkah and camped at Alush.,They journeyed from the Wilderness of Sin and camped at Dophkah.,"(1pt) According to Numbers 33:12, the Israelites moved from the Red Sea and camped in the Wilderness of what?",Sin,5,4
1 Peter 3:4,"Do not let your adornment be merely outward--arranging the hair, wearing gold, or putting on fine apparel-- rather let it be the hidden person of the heart, with the incorruptible beauty of a gentle and quiet spirit, which is very precious in the sight of God. For in this manner, in former times, the holy women who trusted in God also adorned themselves, being submissive to their own husbands,","rather let it be the hidden person of the heart, with the incorruptible beauty of a gentle and quiet spirit, which is very precious in the sight of God.","(1pt) According to 1 Peter 3:4, a wife's beauty is described as being what?",The preciousness of a gentle and quiet spirit in the sight of God,3,4
1 Peter 3:4,"Do not let your adornment be merely outward--arranging the hair, wearing gold, or putting on fine apparel-- rather let it be the hidden person of the heart, with the incorruptible beauty of a gentle and quiet spirit, which is very precious in the sight of God. For in this manner, in former times, the holy women who trusted in God also adorned themselves, being submissive to their own husbands,","rather let it be the hidden person of the heart, with the incorruptible beauty of a gentle and quiet spirit, which is very precious in the sight of God.","(1pt) According to 1 Peter 3:4, the ""hidden person"" of a wife should be the hidden person of what?",The heart,4,2
1 Peter 3:4,"Do not let your adornment be merely outward--arranging the hair, wearing gold, or putting on fine apparel-- rather let it be the hidden person of the heart, with the incorruptible beauty of a gentle and quiet spirit, which is very precious in the sight of God. For in this manner, in former times, the holy women who trusted in God also adorned themselves, being submissive to their own husbands,","rather let it be the hidden person of the heart, with the incorruptible beauty of a gentle and quiet spirit, which is very precious in the sight of God.","(1pt) According to 1 Peter 3:4, a wife should have the beauty of a gentle and quiet spirit which is very precious in the sight of God. What kind of beauty is that?",Incorruptible beauty,4,5
1 Peter 3:4,"Do not let your adornment be merely outward--arranging the hair, wearing gold, or putting on fine apparel-- rather let it be the hidden person of the heart, with the incorruptible beauty of a gentle and quiet spirit, which is very precious in the sight of God. For in this manner, in former times, the holy women who trusted in God also adorned themselves, being submissive to their own husbands,","rather let it be the hidden person of the heart, with the incorruptible beauty of a gentle and quiet spirit, which is very precious in the sight of God.","(1pt) According to 1 Peter 3:4, the gentle and quiet spirit is very precious in whose sight?",God,4,5
