reference,additionalContext,verse,question,answer,grammaticality,acceptability
Esther 10:1,"And King Ahasuerus imposed tribute on the land and on the islands of the sea. Now all the acts of his power and his might, and the account of the greatness of Mordecai, to which the king advanced him, are they not written in the book of the chronicles of the kings of Media and Persia?",And King Ahasuerus imposed tribute on the land and on the islands of the sea.,"(1pt) According to Esther 10:1, what did King Ahasuerus impose on the land and on the islands of the sea?",Tribute,,
Esther 10:1,"And King Ahasuerus imposed tribute on the land and on the islands of the sea. Now all the acts of his power and his might, and the account of the greatness of Mordecai, to which the king advanced him, are they not written in the book of the chronicles of the kings of Media and Persia?",And King Ahasuerus imposed tribute on the land and on the islands of the sea.,"(1pt) According to Esther 10:1, what did King Ahasuerus do to the land and the islands of the sea?",Imposed it,,
Esther 10:1,"And King Ahasuerus imposed tribute on the land and on the islands of the sea. Now all the acts of his power and his might, and the account of the greatness of Mordecai, to which the king advanced him, are they not written in the book of the chronicles of the kings of Media and Persia?",And King Ahasuerus imposed tribute on the land and on the islands of the sea.,"(1pt) According to Esther 10:1, what did King Ahasuerus impose?",Tribute on the land and on the islands of the sea,,
Esther 10:1,"And King Ahasuerus imposed tribute on the land and on the islands of the sea. Now all the acts of his power and his might, and the account of the greatness of Mordecai, to which the king advanced him, are they not written in the book of the chronicles of the kings of Media and Persia?",And King Ahasuerus imposed tribute on the land and on the islands of the sea.,"(1pt) According to Esther 10:1, what did King Ahasuerus impose tribute on?",The islands of the sea,,
Esther 10:1,"And King Ahasuerus imposed tribute on the land and on the islands of the sea. Now all the acts of his power and his might, and the account of the greatness of Mordecai, to which the king advanced him, are they not written in the book of the chronicles of the kings of Media and Persia?",And King Ahasuerus imposed tribute on the land and on the islands of the sea.,"(1pt) According to Esther 10:1, who imposed tribute on the land and on the islands of the sea?",Ahasuerus,,
Esther 10:1,"And King Ahasuerus imposed tribute on the land and on the islands of the sea. Now all the acts of his power and his might, and the account of the greatness of Mordecai, to which the king advanced him, are they not written in the book of the chronicles of the kings of Media and Persia?",And King Ahasuerus imposed tribute on the land and on the islands of the sea.,"(1pt) According to Esther 10:1, who imposed tribute on the land and on the islands of the sea?",King Ahasuerus,,
Esther 10:1,"And King Ahasuerus imposed tribute on the land and on the islands of the sea. Now all the acts of his power and his might, and the account of the greatness of Mordecai, to which the king advanced him, are they not written in the book of the chronicles of the kings of Media and Persia?",And King Ahasuerus imposed tribute on the land and on the islands of the sea.,"(1pt) According to Esther 10:1, what did King Ahasuerus impose tribute on?",The land,,
Haggai 1:5,"""Is it time for you yourselves to dwell in your paneled houses, and this temple to lie in ruins?"" Now therefore, thus says the LORD of hosts: ""Consider your ways! ""You have sown much, and bring in little; You eat, but do not have enough; You drink, but you are not filled with drink; You clothe yourselves, but no one is warm; And he who earns wages, Earns wages to put into a bag with holes.""","Now therefore, thus says the LORD of hosts: ""Consider your ways!","(1pt) According to Haggai 1:5, what command did the Lord of hosts give to the people?",Consider your ways!,,
Haggai 1:5,"""Is it time for you yourselves to dwell in your paneled houses, and this temple to lie in ruins?"" Now therefore, thus says the LORD of hosts: ""Consider your ways! ""You have sown much, and bring in little; You eat, but do not have enough; You drink, but you are not filled with drink; You clothe yourselves, but no one is warm; And he who earns wages, Earns wages to put into a bag with holes.""","Now therefore, thus says the LORD of hosts: ""Consider your ways!","(3pts) According to Haggai 1:5, what three things does the Lord say to the people after asking them if it is time for them to dwell in their paneled houses, and for this temple to lie in ruins?",(1) Now (2) therefore (3) thus says the Lord of hosts,,
Haggai 1:5,"""Is it time for you yourselves to dwell in your paneled houses, and this temple to lie in ruins?"" Now therefore, thus says the LORD of hosts: ""Consider your ways! ""You have sown much, and bring in little; You eat, but do not have enough; You drink, but you are not filled with drink; You clothe yourselves, but no one is warm; And he who earns wages, Earns wages to put into a bag with holes.""","Now therefore, thus says the LORD of hosts: ""Consider your ways!","(1pt) According to Haggai 1:5, what did the Lord of hosts tell the people to do to their ways?",Consider them,,
