reference,additionalContext,verse,question,answer,grammaticality,acceptability
Habakkuk 1:14,"You are of purer eyes than to behold evil, And cannot look on wickedness. Why do You look on those who deal treacherously, And hold Your tongue when the wicked devours A person more righteous than he? Why do You make men like fish of the sea, Like creeping things that have no ruler over them? They take up all of them with a hook, They catch them in their net, And gather them in their dragnet. Therefore they rejoice and are glad.","Why do You make men like fish of the sea, Like creeping things that have no ruler over them?","(1pt) According to Habakkuk 1:14, the Lord makes men like creeping things that have no what?",Ruler,,
2 Peter 2:6,"and did not spare the ancient world, but saved Noah, one of eight people, a preacher of righteousness, bringing in the flood on the world of the ungodly; and turning the cities of Sodom and Gomorrah into ashes, condemned them to destruction, making them an example to those who afterward would live ungodly; and delivered righteous Lot, who was oppressed by the filthy conduct of the wicked","and turning the cities of Sodom and Gomorrah into ashes, condemned them to destruction, making them an example to those who afterward would live ungodly;","(1pt) According to 2 Peter 2:6, when God rained fire and brimstone upon Sodom and Gomorrah, what did He turn the cities into?",Ashes,,
2 Peter 2:6,"and did not spare the ancient world, but saved Noah, one of eight people, a preacher of righteousness, bringing in the flood on the world of the ungodly; and turning the cities of Sodom and Gomorrah into ashes, condemned them to destruction, making them an example to those who afterward would live ungodly; and delivered righteous Lot, who was oppressed by the filthy conduct of the wicked","and turning the cities of Sodom and Gomorrah into ashes, condemned them to destruction, making them an example to those who afterward would live ungodly;","(1pt) According to 2 Peter 2:6, God made the cities of Sodom and Gomorrah an example to whom?",Those who afterward would live ungodly,,
2 Peter 2:6,"and did not spare the ancient world, but saved Noah, one of eight people, a preacher of righteousness, bringing in the flood on the world of the ungodly; and turning the cities of Sodom and Gomorrah into ashes, condemned them to destruction, making them an example to those who afterward would live ungodly; and delivered righteous Lot, who was oppressed by the filthy conduct of the wicked","and turning the cities of Sodom and Gomorrah into ashes, condemned them to destruction, making them an example to those who afterward would live ungodly;","(2pts) According to 2 Peter 2:6, what cities did God turn into ashes?",(1) Sodom (2) Gomorrah,,
2 Peter 2:6,"and did not spare the ancient world, but saved Noah, one of eight people, a preacher of righteousness, bringing in the flood on the world of the ungodly; and turning the cities of Sodom and Gomorrah into ashes, condemned them to destruction, making them an example to those who afterward would live ungodly; and delivered righteous Lot, who was oppressed by the filthy conduct of the wicked","and turning the cities of Sodom and Gomorrah into ashes, condemned them to destruction, making them an example to those who afterward would live ungodly;","(1pt) According to 2 Peter 2:6, what did God make Sodom and Gomorrah to be?",An example to those who afterward would live ungodly,,
Isaiah 19:11,"And its foundations will be broken. All who make wages will be troubled of soul. Surely the princes of Zoan are fools; Pharaoh's wise counselors give foolish counsel. How do you say to Pharaoh, ""I am the son of the wise, The son of ancient kings?"" Where are they? Where are your wise men? Let them tell you now, And let them know what the LORD of hosts has purposed against Egypt.","Surely the princes of Zoan are fools; Pharaoh's wise counselors give foolish counsel. How do you say to Pharaoh, ""I am the son of the wise, The son of ancient kings?""","(1pt) According to Isaiah 19:11, the princes of Zoan are described as being what?",Fools,,
Isaiah 19:11,"And its foundations will be broken. All who make wages will be troubled of soul. Surely the princes of Zoan are fools; Pharaoh's wise counselors give foolish counsel. How do you say to Pharaoh, ""I am the son of the wise, The son of ancient kings?"" Where are they? Where are your wise men? Let them tell you now, And let them know what the LORD of hosts has purposed against Egypt.","Surely the princes of Zoan are fools; Pharaoh's wise counselors give foolish counsel. How do you say to Pharaoh, ""I am the son of the wise, The son of ancient kings?""","(1pt) According to Isaiah 19:11, who does the Lord call fools?",The princes of Zoan,,
Isaiah 19:11,"And its foundations will be broken. All who make wages will be troubled of soul. Surely the princes of Zoan are fools; Pharaoh's wise counselors give foolish counsel. How do you say to Pharaoh, ""I am the son of the wise, The son of ancient kings?"" Where are they? Where are your wise men? Let them tell you now, And let them know what the LORD of hosts has purposed against Egypt.","Surely the princes of Zoan are fools; Pharaoh's wise counselors give foolish counsel. How do you say to Pharaoh, ""I am the son of the wise, The son of ancient kings?""","(1pt) According to Isaiah 19:11, who gives foolish counsel?",Pharaoh's wise counselors,,
Isaiah 19:11,"And its foundations will be broken. All who make wages will be troubled of soul. Surely the princes of Zoan are fools; Pharaoh's wise counselors give foolish counsel. How do you say to Pharaoh, ""I am the son of the wise, The son of ancient kings?"" Where are they? Where are your wise men? Let them tell you now, And let them know what the LORD of hosts has purposed against Egypt.","Surely the princes of Zoan are fools; Pharaoh's wise counselors give foolish counsel. How do you say to Pharaoh, ""I am the son of the wise, The son of ancient kings?""","(2pts) According to Isaiah 19:11, what does Isaiah say to Pharaoh?",(1) I am the son of the wise (2) I am the son of ancient kings,,
Isaiah 19:11,"And its foundations will be broken. All who make wages will be troubled of soul. Surely the princes of Zoan are fools; Pharaoh's wise counselors give foolish counsel. How do you say to Pharaoh, ""I am the son of the wise, The son of ancient kings?"" Where are they? Where are your wise men? Let them tell you now, And let them know what the LORD of hosts has purposed against Egypt.","Surely the princes of Zoan are fools; Pharaoh's wise counselors give foolish counsel. How do you say to Pharaoh, ""I am the son of the wise, The son of ancient kings?""","(1pt) According to Isaiah 19:11, what do the princes of Zoan do?",Giving foolish counsel,,
Isaiah 19:11,"And its foundations will be broken. All who make wages will be troubled of soul. Surely the princes of Zoan are fools; Pharaoh's wise counselors give foolish counsel. How do you say to Pharaoh, ""I am the son of the wise, The son of ancient kings?"" Where are they? Where are your wise men? Let them tell you now, And let them know what the LORD of hosts has purposed against Egypt.","Surely the princes of Zoan are fools; Pharaoh's wise counselors give foolish counsel. How do you say to Pharaoh, ""I am the son of the wise, The son of ancient kings?""","(1pt) According to Isaiah 19:11, who are the sons of?",The wise,,
Isaiah 19:11,"And its foundations will be broken. All who make wages will be troubled of soul. Surely the princes of Zoan are fools; Pharaoh's wise counselors give foolish counsel. How do you say to Pharaoh, ""I am the son of the wise, The son of ancient kings?"" Where are they? Where are your wise men? Let them tell you now, And let them know what the LORD of hosts has purposed against Egypt.","Surely the princes of Zoan are fools; Pharaoh's wise counselors give foolish counsel. How do you say to Pharaoh, ""I am the son of the wise, The son of ancient kings?""","(1pt) According to Isaiah 19:11, the princes of Zoan are fools. Who are the sons of?",Ancient kings,,
Isaiah 19:11,"And its foundations will be broken. All who make wages will be troubled of soul. Surely the princes of Zoan are fools; Pharaoh's wise counselors give foolish counsel. How do you say to Pharaoh, ""I am the son of the wise, The son of ancient kings?"" Where are they? Where are your wise men? Let them tell you now, And let them know what the LORD of hosts has purposed against Egypt.","Surely the princes of Zoan are fools; Pharaoh's wise counselors give foolish counsel. How do you say to Pharaoh, ""I am the son of the wise, The son of ancient kings?""","(1pt) According to Isaiah 19:11, Surely the princes of what place are fools?",Zoan,,
Micah 3:9,"But truly I am full of power by the Spirit of the LORD, And of justice and might, To declare to Jacob his transgression And to Israel his sin. Now hear this, You heads of the house of Jacob And rulers of the house of Israel, Who abhor justice And pervert all equity, Who build up Zion with bloodshed And Jerusalem with iniquity:","Now hear this, You heads of the house of Jacob And rulers of the house of Israel, Who abhor justice And pervert all equity,","(2pts) According to Micah 3:9, whom does Micah tell to hear this?",(1) Heads of the house of Jacob (2) Rulers of the house of Israel,,
Micah 3:9,"But truly I am full of power by the Spirit of the LORD, And of justice and might, To declare to Jacob his transgression And to Israel his sin. Now hear this, You heads of the house of Jacob And rulers of the house of Israel, Who abhor justice And pervert all equity, Who build up Zion with bloodshed And Jerusalem with iniquity:","Now hear this, You heads of the house of Jacob And rulers of the house of Israel, Who abhor justice And pervert all equity,","(1pt) According to Micah 3:9, what do the heads of the house of Jacob and the rulers of the house of Israel abhor?",Justice,,
Micah 3:9,"But truly I am full of power by the Spirit of the LORD, And of justice and might, To declare to Jacob his transgression And to Israel his sin. Now hear this, You heads of the house of Jacob And rulers of the house of Israel, Who abhor justice And pervert all equity, Who build up Zion with bloodshed And Jerusalem with iniquity:","Now hear this, You heads of the house of Jacob And rulers of the house of Israel, Who abhor justice And pervert all equity,","(1pt) According to Micah 3:9, the heads of whose house abhor justice and pervert all equity?",Jacob's,,
Micah 3:9,"But truly I am full of power by the Spirit of the LORD, And of justice and might, To declare to Jacob his transgression And to Israel his sin. Now hear this, You heads of the house of Jacob And rulers of the house of Israel, Who abhor justice And pervert all equity, Who build up Zion with bloodshed And Jerusalem with iniquity:","Now hear this, You heads of the house of Jacob And rulers of the house of Israel, Who abhor justice And pervert all equity,","(2pts) According to Micah 3:9, what two things do the heads of the house of Jacob and the rulers of the house of Israel do?",(1) Abhor justice (2) Pervert all equity,,
Micah 3:9,"But truly I am full of power by the Spirit of the LORD, And of justice and might, To declare to Jacob his transgression And to Israel his sin. Now hear this, You heads of the house of Jacob And rulers of the house of Israel, Who abhor justice And pervert all equity, Who build up Zion with bloodshed And Jerusalem with iniquity:","Now hear this, You heads of the house of Jacob And rulers of the house of Israel, Who abhor justice And pervert all equity,","(1pt) According to Micah 3:9, the heads of the house of Jacob and the rulers of what house pervert all equity?",The house of Israel,,
Micah 3:9,"But truly I am full of power by the Spirit of the LORD, And of justice and might, To declare to Jacob his transgression And to Israel his sin. Now hear this, You heads of the house of Jacob And rulers of the house of Israel, Who abhor justice And pervert all equity, Who build up Zion with bloodshed And Jerusalem with iniquity:","Now hear this, You heads of the house of Jacob And rulers of the house of Israel, Who abhor justice And pervert all equity,","(2pts) According to Micah 3:9, who does Micah call to hear?",(1) Heads (2) Rulers,,
Micah 3:9,"But truly I am full of power by the Spirit of the LORD, And of justice and might, To declare to Jacob his transgression And to Israel his sin. Now hear this, You heads of the house of Jacob And rulers of the house of Israel, Who abhor justice And pervert all equity, Who build up Zion with bloodshed And Jerusalem with iniquity:","Now hear this, You heads of the house of Jacob And rulers of the house of Israel, Who abhor justice And pervert all equity,","(1pt) According to Micah 3:9, the heads of the house of Jacob and the rulers of the house of Israel pervert what?",All equity,,
Micah 3:9,"But truly I am full of power by the Spirit of the LORD, And of justice and might, To declare to Jacob his transgression And to Israel his sin. Now hear this, You heads of the house of Jacob And rulers of the house of Israel, Who abhor justice And pervert all equity, Who build up Zion with bloodshed And Jerusalem with iniquity:","Now hear this, You heads of the house of Jacob And rulers of the house of Israel, Who abhor justice And pervert all equity,","(1pt) According to Micah 3:9, the heads of the house of Jacob and the rulers of the house of Israel abhor justice and pervert all equity. Whose heads are they?",Jacob,,
Jeremiah 25:27,"all the kings of the north, far and near, one with another; and all the kingdoms of the world which are on the face of the earth. Also the king of Sheshach shall drink after them. ""Therefore you shall say to them, ""Thus says the LORD of hosts, the God of Israel: ""Drink, be drunk, and vomit! Fall and rise no more, because of the sword which I will send among you.""' And it shall be, if they refuse to take the cup from your hand to drink, then you shall say to them, ""Thus says the LORD of hosts: ""You shall certainly drink!","""Therefore you shall say to them, ""Thus says the LORD of hosts, the God of Israel: ""Drink, be drunk, and vomit! Fall and rise no more, because of the sword which I will send among you.""'","(1pt) According to Jeremiah 25:27, what would cause the people to fall and rise no more?",The sword which the Lord will send among them,,
Jeremiah 25:27,"all the kings of the north, far and near, one with another; and all the kingdoms of the world which are on the face of the earth. Also the king of Sheshach shall drink after them. ""Therefore you shall say to them, ""Thus says the LORD of hosts, the God of Israel: ""Drink, be drunk, and vomit! Fall and rise no more, because of the sword which I will send among you.""' And it shall be, if they refuse to take the cup from your hand to drink, then you shall say to them, ""Thus says the LORD of hosts: ""You shall certainly drink!","""Therefore you shall say to them, ""Thus says the LORD of hosts, the God of Israel: ""Drink, be drunk, and vomit! Fall and rise no more, because of the sword which I will send among you.""'","(5pts) According to Jeremiah 25:27, what does the Lord tell the people to do?",(1) Drink (2) be drunk (3) vomit (4) fall (5) rise no more,,
