reference,additionalContext,verse,question,answer,grammaticality,acceptability
Revelation 1:10,"I, John, both your brother and companion in the tribulation and kingdom and patience of Jesus Christ, was on the island that is called Patmos for the word of God and for the testimony of Jesus Christ. I was in the Spirit on the Lord's Day, and I heard behind me a loud voice, as of a trumpet, saying, ""I am the Alpha and the Omega, the First and the Last,"" and, ""What you see, write in a book and send it to the seven churches which are in Asia: to Ephesus, to Smyrna, to Pergamos, to Thyatira, to Sardis, to Philadelphia, and to Laodicea.""","I was in the Spirit on the Lord's Day, and I heard behind me a loud voice, as of a trumpet,","(1pt) According to Revelation 1:10, the voice that John heard was described as being what kind of a trumpet?",Loud,,
Revelation 1:10,"I, John, both your brother and companion in the tribulation and kingdom and patience of Jesus Christ, was on the island that is called Patmos for the word of God and for the testimony of Jesus Christ. I was in the Spirit on the Lord's Day, and I heard behind me a loud voice, as of a trumpet, saying, ""I am the Alpha and the Omega, the First and the Last,"" and, ""What you see, write in a book and send it to the seven churches which are in Asia: to Ephesus, to Smyrna, to Pergamos, to Thyatira, to Sardis, to Philadelphia, and to Laodicea.""","I was in the Spirit on the Lord's Day, and I heard behind me a loud voice, as of a trumpet,","(1pt) According to Revelation 1:10, when John was in the Spirit on the Lord's Day, what did he hear?","A loud voice, as of a trumpet, behind him",,
Revelation 1:10,"I, John, both your brother and companion in the tribulation and kingdom and patience of Jesus Christ, was on the island that is called Patmos for the word of God and for the testimony of Jesus Christ. I was in the Spirit on the Lord's Day, and I heard behind me a loud voice, as of a trumpet, saying, ""I am the Alpha and the Omega, the First and the Last,"" and, ""What you see, write in a book and send it to the seven churches which are in Asia: to Ephesus, to Smyrna, to Pergamos, to Thyatira, to Sardis, to Philadelphia, and to Laodicea.""","I was in the Spirit on the Lord's Day, and I heard behind me a loud voice, as of a trumpet,","(1pt) According to Revelation 1:10, when John was in the Spirit on the Lord's Day, he heard a loud voice behind him that was as of what?",A trumpet,,
Revelation 1:10,"I, John, both your brother and companion in the tribulation and kingdom and patience of Jesus Christ, was on the island that is called Patmos for the word of God and for the testimony of Jesus Christ. I was in the Spirit on the Lord's Day, and I heard behind me a loud voice, as of a trumpet, saying, ""I am the Alpha and the Omega, the First and the Last,"" and, ""What you see, write in a book and send it to the seven churches which are in Asia: to Ephesus, to Smyrna, to Pergamos, to Thyatira, to Sardis, to Philadelphia, and to Laodicea.""","I was in the Spirit on the Lord's Day, and I heard behind me a loud voice, as of a trumpet,","(1pt) According to Revelation 1:10, when was John in the Spirit?",On the Lord's Day,,
Revelation 1:10,"I, John, both your brother and companion in the tribulation and kingdom and patience of Jesus Christ, was on the island that is called Patmos for the word of God and for the testimony of Jesus Christ. I was in the Spirit on the Lord's Day, and I heard behind me a loud voice, as of a trumpet, saying, ""I am the Alpha and the Omega, the First and the Last,"" and, ""What you see, write in a book and send it to the seven churches which are in Asia: to Ephesus, to Smyrna, to Pergamos, to Thyatira, to Sardis, to Philadelphia, and to Laodicea.""","I was in the Spirit on the Lord's Day, and I heard behind me a loud voice, as of a trumpet,","(1pt) According to Revelation 1:10, when John was in the Spirit on the Lord's Day, he heard a loud voice as of a trumpet where?",Behind him,,
Revelation 1:10,"I, John, both your brother and companion in the tribulation and kingdom and patience of Jesus Christ, was on the island that is called Patmos for the word of God and for the testimony of Jesus Christ. I was in the Spirit on the Lord's Day, and I heard behind me a loud voice, as of a trumpet, saying, ""I am the Alpha and the Omega, the First and the Last,"" and, ""What you see, write in a book and send it to the seven churches which are in Asia: to Ephesus, to Smyrna, to Pergamos, to Thyatira, to Sardis, to Philadelphia, and to Laodicea.""","I was in the Spirit on the Lord's Day, and I heard behind me a loud voice, as of a trumpet,","(1pt) According to Revelation 1:10, what did John hear behind him on the Lord's Day?","A loud voice, as of a trumpet",,
Revelation 1:10,"I, John, both your brother and companion in the tribulation and kingdom and patience of Jesus Christ, was on the island that is called Patmos for the word of God and for the testimony of Jesus Christ. I was in the Spirit on the Lord's Day, and I heard behind me a loud voice, as of a trumpet, saying, ""I am the Alpha and the Omega, the First and the Last,"" and, ""What you see, write in a book and send it to the seven churches which are in Asia: to Ephesus, to Smyrna, to Pergamos, to Thyatira, to Sardis, to Philadelphia, and to Laodicea.""","I was in the Spirit on the Lord's Day, and I heard behind me a loud voice, as of a trumpet,","(1pt) According to Revelation 1:10, when John was in the Spirit on the Lord's Day, he heard what?",A loud voice,,
Revelation 1:10,"I, John, both your brother and companion in the tribulation and kingdom and patience of Jesus Christ, was on the island that is called Patmos for the word of God and for the testimony of Jesus Christ. I was in the Spirit on the Lord's Day, and I heard behind me a loud voice, as of a trumpet, saying, ""I am the Alpha and the Omega, the First and the Last,"" and, ""What you see, write in a book and send it to the seven churches which are in Asia: to Ephesus, to Smyrna, to Pergamos, to Thyatira, to Sardis, to Philadelphia, and to Laodicea.""","I was in the Spirit on the Lord's Day, and I heard behind me a loud voice, as of a trumpet,","(1pt) According to Revelation 1:10, what state was John in when he heard the loud voice?",In the Spirit,,
Amos 3:14,"Hear and testify against the house of Jacob,"" Says the Lord GOD, the God of hosts, ""That in the day I punish Israel for their transgressions, I will also visit destruction on the altars of Bethel; And the horns of the altar shall be cut off And fall to the ground. I will destroy the winter house along with the summer house; The houses of ivory shall perish, And the great houses shall have an end,"" Says the LORD.","""That in the day I punish Israel for their transgressions, I will also visit destruction on the altars of Bethel; And the horns of the altar shall be cut off And fall to the ground.","(1pt) According to Amos 3:14, when the Lord punishes Israel for their transgressions, what will He also visit destruction upon?",The altars of Bethel,,
Amos 3:14,"Hear and testify against the house of Jacob,"" Says the Lord GOD, the God of hosts, ""That in the day I punish Israel for their transgressions, I will also visit destruction on the altars of Bethel; And the horns of the altar shall be cut off And fall to the ground. I will destroy the winter house along with the summer house; The houses of ivory shall perish, And the great houses shall have an end,"" Says the LORD.","""That in the day I punish Israel for their transgressions, I will also visit destruction on the altars of Bethel; And the horns of the altar shall be cut off And fall to the ground.","(1pt) According to Amos 3:14, the Lord God says that He will punish whom for their transgressions?",Israel,,
