reference,additionalContext,verse,question,answer,grammaticality,acceptability
2 Samuel 22:13,"He made darkness canopies around Him, Dark waters and thick clouds of the skies. From the brightness before Him Coals of fire were kindled. ""The LORD thundered from heaven, And the Most High uttered His voice.",From the brightness before Him Coals of fire were kindled.,"(1pt) According to 2 Samuel 22:13, what happened when the Lord thundered from heaven?",Coals of fire were kindled from the brightness before Him,,
2 Samuel 22:13,"He made darkness canopies around Him, Dark waters and thick clouds of the skies. From the brightness before Him Coals of fire were kindled. ""The LORD thundered from heaven, And the Most High uttered His voice.",From the brightness before Him Coals of fire were kindled.,"(1pt) According to 2 Samuel 22:13, what did the Lord do with coals of fire?",Kindled from the brightness before Him,,
2 Samuel 22:13,"He made darkness canopies around Him, Dark waters and thick clouds of the skies. From the brightness before Him Coals of fire were kindled. ""The LORD thundered from heaven, And the Most High uttered His voice.",From the brightness before Him Coals of fire were kindled.,"(1pt) According to 2 Samuel 22:13, what was kindled from the brightness before the Lord?",Coals of fire,,
2 Samuel 22:13,"He made darkness canopies around Him, Dark waters and thick clouds of the skies. From the brightness before Him Coals of fire were kindled. ""The LORD thundered from heaven, And the Most High uttered His voice.",From the brightness before Him Coals of fire were kindled.,"(1pt) According to 2 Samuel 22:13, from the brightness before Him, what were coals of fire?",Kindled,,
2 Samuel 22:13,"He made darkness canopies around Him, Dark waters and thick clouds of the skies. From the brightness before Him Coals of fire were kindled. ""The LORD thundered from heaven, And the Most High uttered His voice.",From the brightness before Him Coals of fire were kindled.,"(1pt) According to 2 Samuel 22:13, what coals were kindled from the brightness before the Lord?",Fire,,
Judges 13:3,"Now there was a certain man from Zorah, of the family of the Danites, whose name was Manoah; and his wife was barren and had no children. And the Angel of the LORD appeared to the woman and said to her, ""Indeed now, you are barren and have borne no children, but you shall conceive and bear a son. Now therefore, please be careful not to drink wine or similar drink, and not to eat anything unclean.","And the Angel of the LORD appeared to the woman and said to her, ""Indeed now, you are barren and have borne no children, but you shall conceive and bear a son.","(2pts) According to Judges 13:3, what two things did the Angel of the Lord say about the woman?",(1) You are barren (2) You have borne no children,,
Judges 13:3,"Now there was a certain man from Zorah, of the family of the Danites, whose name was Manoah; and his wife was barren and had no children. And the Angel of the LORD appeared to the woman and said to her, ""Indeed now, you are barren and have borne no children, but you shall conceive and bear a son. Now therefore, please be careful not to drink wine or similar drink, and not to eat anything unclean.","And the Angel of the LORD appeared to the woman and said to her, ""Indeed now, you are barren and have borne no children, but you shall conceive and bear a son.","(1pt) According to Judges 13:3, what did the Angel of the Lord tell the woman she would do?",Conceive and bear a son,,
Judges 13:3,"Now there was a certain man from Zorah, of the family of the Danites, whose name was Manoah; and his wife was barren and had no children. And the Angel of the LORD appeared to the woman and said to her, ""Indeed now, you are barren and have borne no children, but you shall conceive and bear a son. Now therefore, please be careful not to drink wine or similar drink, and not to eat anything unclean.","And the Angel of the LORD appeared to the woman and said to her, ""Indeed now, you are barren and have borne no children, but you shall conceive and bear a son.","(1pt) According to Judges 13:3, the Angel of the Lord told the woman that she would conceive and bear what?",A son,,
Judges 13:3,"Now there was a certain man from Zorah, of the family of the Danites, whose name was Manoah; and his wife was barren and had no children. And the Angel of the LORD appeared to the woman and said to her, ""Indeed now, you are barren and have borne no children, but you shall conceive and bear a son. Now therefore, please be careful not to drink wine or similar drink, and not to eat anything unclean.","And the Angel of the LORD appeared to the woman and said to her, ""Indeed now, you are barren and have borne no children, but you shall conceive and bear a son.","(2pts) According to Judges 13:3, what did the Angel of the Lord tell the woman?",(1) You shall conceive (2) You shall bear a son,,
Judges 13:3,"Now there was a certain man from Zorah, of the family of the Danites, whose name was Manoah; and his wife was barren and had no children. And the Angel of the LORD appeared to the woman and said to her, ""Indeed now, you are barren and have borne no children, but you shall conceive and bear a son. Now therefore, please be careful not to drink wine or similar drink, and not to eat anything unclean.","And the Angel of the LORD appeared to the woman and said to her, ""Indeed now, you are barren and have borne no children, but you shall conceive and bear a son.","(1pt) According to Judges 13:3, to whom did the Angel of the Lord appear?",The woman,,
