reference,additionalContext,verse,question,answer,grammaticality,acceptability
Philemon 1:18,"If then you count me as a partner, receive him as you would me. But if he has wronged you or owes anything, put that on my account. I, Paul, am writing with my own hand. I will repay--not to mention to you that you owe me even your own self besides.","But if he has wronged you or owes anything, put that on my account.","(1pt) According to Philemon 1:18, what did Paul say to do if Philemon had wronged Onesimus or owed anything?",put that on my account,,
Philemon 1:18,"If then you count me as a partner, receive him as you would me. But if he has wronged you or owes anything, put that on my account. I, Paul, am writing with my own hand. I will repay--not to mention to you that you owe me even your own self besides.","But if he has wronged you or owes anything, put that on my account.","(1pt) According to Philemon 1:18, Paul tells Philemon to put what on ""my"" account?",anything,,
Philemon 1:18,"If then you count me as a partner, receive him as you would me. But if he has wronged you or owes anything, put that on my account. I, Paul, am writing with my own hand. I will repay--not to mention to you that you owe me even your own self besides.","But if he has wronged you or owes anything, put that on my account.","(1pt) According to Philemon 1:18, if Onesimus has wronged Philemon or owes anything, Philemon should put it where?",On my account,,
Philemon 1:18,"If then you count me as a partner, receive him as you would me. But if he has wronged you or owes anything, put that on my account. I, Paul, am writing with my own hand. I will repay--not to mention to you that you owe me even your own self besides.","But if he has wronged you or owes anything, put that on my account.","(1pt) According to Philemon 1:18, Paul says that Onesimus has done what?",Wronged you or owes anything,,
Judges 19:20,"although we have both straw and fodder for our donkeys, and bread and wine for myself, for your female servant, and for the young man who is with your servant; there is no lack of anything."" And the old man said, ""Peace be with you! However, let all your needs be my responsibility; only do not spend the night in the open square."" So he brought him into his house, and gave fodder to the donkeys. And they washed their feet, and ate and drank.","And the old man said, ""Peace be with you! However, let all your needs be my responsibility; only do not spend the night in the open square.""","(1pt) According to Judges 19:20, what did the old man want to be his responsibility?",All your needs,,
Judges 19:20,"although we have both straw and fodder for our donkeys, and bread and wine for myself, for your female servant, and for the young man who is with your servant; there is no lack of anything."" And the old man said, ""Peace be with you! However, let all your needs be my responsibility; only do not spend the night in the open square."" So he brought him into his house, and gave fodder to the donkeys. And they washed their feet, and ate and drank.","And the old man said, ""Peace be with you! However, let all your needs be my responsibility; only do not spend the night in the open square.""","(1pt) According to Judges 19:20, who told the men to let all their needs be his responsibility?",The old man,,
Judges 19:20,"although we have both straw and fodder for our donkeys, and bread and wine for myself, for your female servant, and for the young man who is with your servant; there is no lack of anything."" And the old man said, ""Peace be with you! However, let all your needs be my responsibility; only do not spend the night in the open square."" So he brought him into his house, and gave fodder to the donkeys. And they washed their feet, and ate and drank.","And the old man said, ""Peace be with you! However, let all your needs be my responsibility; only do not spend the night in the open square.""","(1pt) According to Judges 19:20, the old man told the man of the city to let all his needs be what?",My responsibility,,
Judges 19:20,"although we have both straw and fodder for our donkeys, and bread and wine for myself, for your female servant, and for the young man who is with your servant; there is no lack of anything."" And the old man said, ""Peace be with you! However, let all your needs be my responsibility; only do not spend the night in the open square."" So he brought him into his house, and gave fodder to the donkeys. And they washed their feet, and ate and drank.","And the old man said, ""Peace be with you! However, let all your needs be my responsibility; only do not spend the night in the open square.""","(1pt) According to Judges 19:20, the old man told the Levite to not spend the night where?",In the open square,,
Judges 19:20,"although we have both straw and fodder for our donkeys, and bread and wine for myself, for your female servant, and for the young man who is with your servant; there is no lack of anything."" And the old man said, ""Peace be with you! However, let all your needs be my responsibility; only do not spend the night in the open square."" So he brought him into his house, and gave fodder to the donkeys. And they washed their feet, and ate and drank.","And the old man said, ""Peace be with you! However, let all your needs be my responsibility; only do not spend the night in the open square.""","(1pt) According to Judges 19:20, what did the old man say to greet the man?",Peace,,
Judges 11:26,"And now, are you any better than Balak the son of Zippor, king of Moab? Did he ever strive against Israel? Did he ever fight against them? While Israel dwelt in Heshbon and its villages, in Aroer and its villages, and in all the cities along the banks of the Arnon, for three hundred years, why did you not recover them within that time? Therefore I have not sinned against you, but you wronged me by fighting against me. May the LORD, the Judge, render judgment this day between the children of Israel and the people of Ammon.""'","While Israel dwelt in Heshbon and its villages, in Aroer and its villages, and in all the cities along the banks of the Arnon, for three hundred years, why did you not recover them within that time?","(1pt) According to Judges 11:26, why did the Lord not allow the Israelites to recover the cities they had lost?",The 300 years they dwelt there,,
Judges 11:26,"And now, are you any better than Balak the son of Zippor, king of Moab? Did he ever strive against Israel? Did he ever fight against them? While Israel dwelt in Heshbon and its villages, in Aroer and its villages, and in all the cities along the banks of the Arnon, for three hundred years, why did you not recover them within that time? Therefore I have not sinned against you, but you wronged me by fighting against me. May the LORD, the Judge, render judgment this day between the children of Israel and the people of Ammon.""'","While Israel dwelt in Heshbon and its villages, in Aroer and its villages, and in all the cities along the banks of the Arnon, for three hundred years, why did you not recover them within that time?","(1pt) According to Judges 11:26, Gideon asked why Israel did not recover the children of Ammon within the 300 years that Israel dwelt in what places?",All the cities along the banks of the Arnon,,
Judges 11:26,"And now, are you any better than Balak the son of Zippor, king of Moab? Did he ever strive against Israel? Did he ever fight against them? While Israel dwelt in Heshbon and its villages, in Aroer and its villages, and in all the cities along the banks of the Arnon, for three hundred years, why did you not recover them within that time? Therefore I have not sinned against you, but you wronged me by fighting against me. May the LORD, the Judge, render judgment this day between the children of Israel and the people of Ammon.""'","While Israel dwelt in Heshbon and its villages, in Aroer and its villages, and in all the cities along the banks of the Arnon, for three hundred years, why did you not recover them within that time?","(1pt) According to Judges 11:26, what did the Ammonites not do within 300 years?",Recover them,,
Judges 11:26,"And now, are you any better than Balak the son of Zippor, king of Moab? Did he ever strive against Israel? Did he ever fight against them? While Israel dwelt in Heshbon and its villages, in Aroer and its villages, and in all the cities along the banks of the Arnon, for three hundred years, why did you not recover them within that time? Therefore I have not sinned against you, but you wronged me by fighting against me. May the LORD, the Judge, render judgment this day between the children of Israel and the people of Ammon.""'","While Israel dwelt in Heshbon and its villages, in Aroer and its villages, and in all the cities along the banks of the Arnon, for three hundred years, why did you not recover them within that time?","(1pt) According to Judges 11:26, how long did Israel dwell in Heshbon and its villages, in Aroer and its villages, and in all the cities along the banks of the Arnon?",300 years,,
Judges 11:26,"And now, are you any better than Balak the son of Zippor, king of Moab? Did he ever strive against Israel? Did he ever fight against them? While Israel dwelt in Heshbon and its villages, in Aroer and its villages, and in all the cities along the banks of the Arnon, for three hundred years, why did you not recover them within that time? Therefore I have not sinned against you, but you wronged me by fighting against me. May the LORD, the Judge, render judgment this day between the children of Israel and the people of Ammon.""'","While Israel dwelt in Heshbon and its villages, in Aroer and its villages, and in all the cities along the banks of the Arnon, for three hundred years, why did you not recover them within that time?","(1pt) According to Judges 11:26, during the time of the 300 years, what was the name of the rivers that bordered the cities of the Amorites?",The Arnon,,
